time,T1,T2
0,1323.664104,513.9035465
1,1267.490547,534.5703216
2,1202.147131,470.2285603
3,1145.915755,509.3449263
4,1206.366147,538.0401467
5,1380.749854,619.2939516
6,1581.119685,695.1904464
7,1519.878266,719.526303
8,1525.061329,765.7165122
9,1526.578472,834.0559632
10,1547.554699,908.059575
11,1514.409206,952.5231366
12,1498.46468,963.7793352
13,1474.870724,906.617166
14,1469.081125,929.0027706
15,1505.685999,852.708207
16,1529.000362,832.8183396
17,1554.652022,821.5061778
18,1539.394484,760.9847232
19,1522.69709,728.7756372
20,1451.927844,716.377707
21,1452.417562,688.6003794
22,1432.662386,668.078241
23,1400.504074,671.4824466
