Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.334354223,1.238804081,1.22029258,1.070826122,1.139919254,1.108116216,1.627821276,1.609217214,2.184872708,1.910871681,1.560210093,1.049911817,1.579765353,1.173417693,2.096147771,1.652038136,1.292354142,1.52871626,2.119614246,1.860461614,1.002570947,1.266752287,1.242633421,1.59646969
2,4.953178769,4.285024619,4.59752718,4.605431422,4.021465934,3.938291819,5.041089374,5.736079669,6.019059031,6.816360776,6.778147426,6.208549396,5.083204154,6.389452288,5.88713177,5.790772787,6.739445034,7.644900879,6.77391614,6.425307123,5.107055845,6.436928844,4.531918747,4.644761784
3,4.747851104,2.015731289,2.501452692,2.84242806,2.376031291,3.115829484,2.642530504,4.775941504,5.080647919,4.616611877,4.457037113,5.626953288,6.384114644,5.204710806,6.251475532,4.060720377,3.93656204,5.898756867,6.652126415,5.131532642,4.806797604,5.13340617,2.542191021,2.711506005
4,0.465838952,0.545391382,0.476972013,0.495133327,0.495627855,0.603502191,0.666377926,0.787398342,0.635210729,0.875511336,0.646986591,0.5285353,0.712287156,0.932351973,0.70383644,0.744215508,0.618661576,0.718386358,0.956114205,0.700022097,0.642409592,0.699377339,0.773506533,0.419669195
5,0.478956614,0.513665659,0.343381173,0.349434219,0.465735469,0.341728317,0.621205714,0.529440691,0.654841022,0.664470973,0.56985123,0.59163922,0.601578382,0.535683627,0.598970743,0.654964372,0.642442163,0.506312417,0.713662667,0.739974207,0.661386763,0.631844833,0.450542245,0.580102052
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.158247027,1.31447088,1.468265791,1.061813535,0.901253155,1.049114929,1.341928505,1.775592067,1.308141538,1.9934006,1.604563588,1.919277155,1.871322677,2.243164187,1.817802167,1.76715182,1.781128333,2.108682895,1.856139506,1.410113597,1.26659565,1.63801425,1.466532297,1.174031544
9,0.431301843,0.431946021,0.384866917,0.422319884,0.395769608,0.491206798,0.676785831,0.489281379,0.726252929,0.772905098,0.668631857,0.443688571,0.945933626,0.588434546,0.78280032,0.560189769,0.725436392,0.591705727,0.70285058,0.673006666,0.698049583,0.677483867,0.561952994,0.503203469
10,0.190867352,0.249801283,0.184105825,0.218450219,0.191272945,0.165018507,0.301377363,0.315644317,0.262976946,0.277956008,0.275558235,0.326967581,0.284319417,0.278160358,0.379756967,0.272358091,0.356279527,0.331756089,0.291678404,0.338200023,0.285706792,0.327009399,0.253738805,0.200743068
11,0.274339231,0.354314949,0.422618143,0.248674644,0.288751327,0.32254129,0.328971921,0.427088188,0.412006423,0.48687707,0.550462375,0.365513548,0.570076022,0.390468727,0.398626815,0.468011045,0.38000187,0.624151896,0.503429897,0.507195326,0.578529079,0.385834802,0.305855941,0.274991083
12,0.676453251,0.580957391,0.987579723,0.475077854,0.569239724,0.820157797,0.722464702,0.96640668,0.736858451,1.002943825,1.210796565,1.084619492,1.293469771,1.149703087,1.583644772,0.997929654,1.167977314,1.36958174,1.294953256,0.910497059,1.370745332,0.974948236,0.873621419,0.466796224
13,1.072345226,1.079273946,0.932681473,0.937062009,0.993444991,0.935976224,1.201559419,1.360557298,1.432479956,1.451846686,1.508581892,1.473733996,1.430223847,1.5053785,1.476182302,1.464462424,1.555293203,1.510530812,1.57000292,1.613338324,1.411582164,1.351878203,1.164819786,1.049157753
