Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.2569563,9.644600702,9.185334002,9.032245102,9.032245102,9.185334002,11.3285786,13.1656454,14.54344551,14.69653441,14.69653441,14.54344551,14.54344551,14.54344551,14.23726771,14.23726771,15.15580111,15.30889001,15.30889001,14.69653441,13.93108991,12.7063787,11.1754897,9.644600702
2,15.34505274,14.42893018,13.74183827,13.51280763,13.51280763,13.74183827,16.9482672,19.69663485,21.7579106,21.98694124,21.98694124,21.7579106,21.7579106,21.7579106,21.29984932,21.29984932,22.67403315,22.90306379,22.90306379,21.98694124,20.84178805,19.00954294,16.71923656,14.42893018
3,-3.149773982,-2.961727775,-2.820693119,-2.773681567,-2.773681567,-2.820693119,-3.478854846,-4.04299347,-4.466097439,-4.513108991,-4.513108991,-4.466097439,-4.466097439,-4.466097439,-4.372074335,-4.372074335,-4.654143647,-4.701155199,-4.701155199,-4.513108991,-4.278051231,-3.901958814,-3.431843294,-2.961727775
4,1.292214967,1.215067805,1.157207433,1.137920643,1.137920643,1.157207433,1.427222501,1.658663988,1.832245103,1.851531894,1.851531894,1.832245103,1.832245103,1.832245103,1.793671522,1.793671522,1.909392265,1.928679056,1.928679056,1.851531894,1.755097941,1.600803616,1.40793571,1.215067805
5,6.057257659,5.695630336,5.424409844,5.334003013,5.334003013,5.424409844,6.690105473,7.774987441,8.588648921,8.679055752,8.679055752,8.588648921,8.588648921,8.588648921,8.40783526,8.40783526,8.950276244,9.040683074,9.040683074,8.679055752,8.227021598,7.503766949,6.599698643,5.695630336
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13.40673028,12.60632848,12.00602712,11.80592667,11.80592667,12.00602712,14.80743345,17.20863887,19.00954295,19.2096434,19.2096434,19.00954295,19.00954295,19.00954295,18.60934204,18.60934204,19.80994475,20.0100452,20.0100452,19.2096434,18.20914114,16.60833751,14.607333,12.60632848
9,4.684279256,4.404620793,4.194876946,4.12496233,4.12496233,4.194876946,5.173681566,6.012656955,6.641888499,6.711803115,6.711803115,6.641888499,6.641888499,6.641888499,6.502059267,6.502059267,6.921546962,6.991461577,6.991461577,6.711803115,6.362230036,5.802913108,5.10376695,4.404620793
10,1.453741838,1.366951281,1.301858363,1.280160723,1.280160723,1.301858363,1.605625314,1.865996986,2.061275741,2.08297338,2.08297338,2.061275741,2.061275741,2.061275741,2.017880462,2.017880462,2.148066298,2.169763938,2.169763938,2.08297338,1.974485184,1.800904068,1.583927674,1.366951281
11,1.292214967,1.215067805,1.157207433,1.137920643,1.137920643,1.157207433,1.427222501,1.658663988,1.832245103,1.851531894,1.851531894,1.832245103,1.832245103,1.832245103,1.793671522,1.793671522,1.909392265,1.928679056,1.928679056,1.851531894,1.755097941,1.600803616,1.40793571,1.215067805
12,4.684279256,4.404620793,4.194876946,4.12496233,4.12496233,4.194876946,5.173681566,6.012656955,6.641888499,6.711803115,6.711803115,6.641888499,6.641888499,6.641888499,6.502059267,6.502059267,6.921546962,6.991461577,6.991461577,6.711803115,6.362230036,5.802913108,5.10376695,4.404620793
13,4.038171772,3.797086891,3.616273229,3.556002009,3.556002009,3.616273229,4.460070316,5.183324961,5.725765947,5.786037168,5.786037168,5.725765947,5.725765947,5.725765947,5.605223506,5.605223506,5.966850829,6.02712205,6.02712205,5.786037168,5.484681065,5.0025113,4.399799095,3.797086891
