state,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,power_1,power_2,power_3,power_4,power_5,power_6,power_7,power_8,power_9,power_10,power_11,power_12,flow,total_power,specific_power,from,to,station
0,5702,,,,,,,,,,,,915,,,,,,,,,,,,5702,915,0.160470011,T1,T2,1
1,5383,5383,,,,,,,,,,,991,991,,,,,,,,,,,10766,1982,0.184098087,T1,T2,1
2,5039,5039,5039,,,,,,,,,,1053,1053,1053,,,,,,,,,,15117,3159,0.208970034,T1,T2,1
3,4694,4694,4694,4694,,,,,,,,,1136,1136,1136,1136,,,,,,,,,18776,4544,0.242011078,T1,T2,1
4,,,,,9066.74,0,0,,,,,,,,,,4860.3,0,0,,,,,,9066.74,4860.3,0.536058164,T1,T3,2
5,,,,,8825.66,8825.66,0,,,,,,,,,,4982.7,4982.7,0,,,,,,17651.32,9965.4,0.564569675,T1,T3,2
6,,,,,8613.28,8613.28,8613.28,,,,,,,,,,5211.35,5211.35,5211.35,,,,,,25839.84,15634.05,0.605036641,T1,T3,2
7,,,,,,,,6468,,,,,,,,,,,,2774,,,,,6468,2774,0.428880643,T2,T3,3
8,,,,,,,,6320,6320,,,,,,,,,,,2738,2738,,,,12640,5476,0.433227848,T2,T3,3
9,,,,,,,,6132,6132,6132,,,,,,,,,,2687,2687,2687,,,18396,8061,0.438193085,T2,T3,3
10,,,,,,,,,,,18000,,,,,,,,,,,,15000,,18000,15000,0.833333333,T3,T4,4
11,,,,,,,,,,,,10000,,,,,,,,,,,,6400,10000,6400,0.64,T3,T5,5
