time,T1,T2,T3,T4,T5
0,6943.3777,13556.15,17008.25,13348.19605,3839.264317
1,7056,12851.15,16324,12938.41425,3228.96
2,6138.9496,12118.63,15387.75,12817.51094,2951.540928
3,6693.54,11700.56,15688.75,13017.62947,3602.0684
4,6949.7099,11960.08,15870.75,13448.67652,3681.344079
5,7473.011,12420.49,17099.25,13996.27852,3963.22731
6,8206.695,13566.89,17759,14730.40699,5412.42765
7,9500.33,14606.22,18779.25,15422.26839,5945.3541
8,10543.722,15423.28,17585.75,15973.59469,6012.23994
9,11635.715,15700.35,15933.75,16480.01121,5341.9716
10,12636.295,15921.61,13898.5,16760.79285,5256.4708
11,13266.302,15622.74,11728.5,16833.50033,5060.47248
12,13375.124,15460.15,11249,16732.93049,5636.10348
13,12774.776,15466.31,12708.5,16578.671,5736.71952
14,13029.66,15399.58,15403.5,16212.80593,6290.6382
15,11790.877,15520.56,18490.5,15835.78788,7235.3631
16,11359.999,15508.3,20961.5,15360.21587,7600.2997
17,11155.109,15635.06,22608.25,14859.38174,7868.1827
18,10358.768,15461.17,22380.75,14387.91142,6825.40236
19,10081.407,15571.1,21059.5,14093.04922,5789.05768
20,10174.808,15316.79,19916.75,13630.56806,5628.63392
21,9682.995,15217.54,18595.5,13098.28056,5299.1988
22,9274.181,14772.81,17353,12485.18939,4376.99801
23,9159.983,14252.61,17221.75,11854.06316,3715.40694
24,8063.566,13387.66,16752.75,11234.16377,4038.73386
25,7275.191,12568.46,16075.5,10994.34055,3238.59438
26,7044.877,11757.79,15449,10942.76106,3121.95786
27,6325.6592,11228.66,14955.5,11123.00492,3422.158432
28,6667.9172,11341.88,15184.75,11638.24314,3526.127612
29,6845.7319,11776.81,14574,12347.63207,3477.963699
30,7740.971,12754.03,15680,13172.61995,4912.46217
31,8036.539,13748.46,15898.75,13981.43764,5031.64053
32,10077.725,14741.41,15363.25,14645.90531,5486.37075
33,10160.486,15251.76,14330.75,15176.2121,4731.43664
34,11964.099,15640.08,14164.5,15561.62916,5137.70376
35,12658.226,15686.28,11938.5,15803.89822,4948.13424
36,12818.197,15545.66,12498.5,15924.79613,5710.64319
37,12978.014,15380.33,13713,15996.47812,5972.40378
38,12996.844,15228.61,16122.75,15862.79315,6411.24288
39,11970.133,15123.8,18859.75,15780.14124,7362.9899
40,11893.364,15116.95,22193.5,15620.68096,8006.7092
41,11573.562,15376.9,23833.25,15509.47313,8238.7186
42,10515.645,15565.1,24127.25,15373.22559,7182.12915
43,10822.07,15729.35,22865.5,15243.73996,6255.7768
44,10911.936,15735.61,21595,14901.08716,6074.06464
45,10070.263,15392.84,19528.25,14507.2077,5541.38312
46,10400.39,14789.04,18123,13902.78088,4721.3019
47,9304.645,14061.21,17841.25,13332.07771,3815.7861
48,8029.903,13234.01,16331,12867.34328,3972.61963
49,6945.7745,12388.74,15207.5,12675.38595,3075.13941
50,6704.4663,11805.46,13499.5,12587.25677,2826.743934
51,5829.9773,11619.17,11397.75,12621.96138,2819.980233
52,6581.0787,11985.8,10568.25,12716.11007,2861.581527
53,7224.651,12948.45,10900.75,12922.21689,3043.28171
54,7834.064,14169.78,12430.25,13148.7245,4352.64228
55,8276.233,15292.13,15263.5,13584.06615,4982.01291
56,9047.577,16101.04,18002.25,14194.90542,5683.25079
57,9561.552,16360.76,19234.25,14886.53889,5372.25248
58,9848.58,16330.15,20693.75,15656.36089,5674.6592
59,10610.509,16125.9,20492.5,16263.83156,5825.32216
60,11045.573,15947.96,21516.25,16714.6347,6855.22971
61,11447.163,15798.64,23845.5,16864.99939,7382.92401
62,11581.843,15897.49,27119.75,16821.12892,8008.65261
63,11826.493,15833.54,29928.5,16535.147,9533.6479
64,11110.547,15962.56,31561.25,16322.99678,9645.4141
65,10494.547,16021.55,30110.5,16043.10792,9170.4641
66,10213.196,16101.22,25737.25,15807.01578,7390.26792
67,9249.576,16005.58,20865.25,15603.59992,5558.33824
68,9214.464,15827.65,15702.75,15297.76321,4723.91136
69,8594.789,15274.38,12381.25,14781.91313,4043.74936
70,8080.926,14616.59,10515.75,14266.81068,3169.19946
71,7638.407,13715.05,10869.25,13708.43105,2679.22326
