time,T1,T2,T3,T4,T5
0,576.3003491,582.91445,714.3465,654.0616065,176.8803917
1,578.592,591.1529,674.1812,653.3899196,180.82176
2,497.2549176,593.81287,626.281425,666.5105689,137.8369613
3,535.4832,608.42912,627.55,696.4431766,149.7431292
4,549.0270821,657.8044,623.720475,739.6772086,184.067204
5,582.894858,720.38842,661.740975,790.7897364,217.4113267
6,631.915515,827.58029,674.842,854.3636054,276.0338102
7,709.674651,873.451956,736.1466,868.2737104,324.0217985
8,762.3111006,905.346536,708.705725,873.7556295,349.0439299
9,814.50005,902.770125,661.250625,873.4405941,333.5393518
10,855.4771715,896.386643,593.46595,859.8286732,312.7600126
11,866.2895206,862.375248,513.7083,836.6249664,321.656282
12,842.632812,834.8481,506.205,803.1806635,321.2578984
13,817.585664,850.64705,587.1327,812.354879,295.7597619
14,846.9279,862.37648,728.58555,810.6402965,288.6703974
15,778.197882,884.67192,896.78925,807.6251819,325.5913395
16,761.119933,899.4814,1041.78655,798.7312252,394.0755394
17,758.547412,922.46854,1148.4991,787.5472322,414.6532283
18,714.754992,927.6702,1163.799,776.9472167,430.0003487
19,722.8368819,890.66692,1057.1869,749.7502185,410.4080079
20,755.9882344,831.701697,961.979025,712.8787095,356.5036009
21,745.590615,783.70331,864.69075,674.5614488,280.8575364
22,739.1522257,719.435847,775.6791,632.9991021,217.5368011
23,753.8666009,652.769538,737.0909,590.3323454,215.0291767
