,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,pds_lat,wds_lat,T1,T2,T3,T4,T5,gen_0,reliability,penalized_avg_obj
0,0.5,374448.81715890835,380890.11641877424,1976.9955347439418,-0.012224396049645467,387.3089679234981,0.476,79700.78004371468,265.66926681238226,0,0,151,136,151,164,149,0,0.524,454149.59720262303
1,1.0,375400.7996290556,381711.1703255855,1945.055749953972,-0.027903774673289635,392.0534257640073,0.219,26131.91737187704,87.10639123959014,0,0,58,62,48,58,54,0,0.781,401532.71700093267
2,1.0,375400.8227319542,381711.15685184806,1945.0314753298062,-0.027900843106862968,392.05342576950903,0.219,26132.041971446743,,0,0,58,62,48,58,54,0,0.781,401532.864703401
3,1.0,375724.0522298427,382039.17337353295,1898.3596654532278,-0.01951237739819436,392.2442951140497,0.225,35128.79692017754,,0,1,56,61,46,58,56,0,0.775,410852.8491500202
4,1.0,376010.8095784426,382113.77704780153,1857.6592169441487,-0.020837442493619802,392.4244481519181,0.246,50648.25918694656,,0,2,63,69,46,69,64,0,0.754,426659.06876538915
5,1.0,376283.56468475674,382376.4672241931,1824.93651810938,-0.016163516455464922,392.6018166595553,0.275,67481.92810742422,,0,3,71,76,58,63,68,0,0.725,443765.492792181
6,1.0,376537.84110057546,382549.7790028588,1793.9786857360157,-0.015980244653079068,392.7743704315806,0.285,86980.43828000144,,0,4,76,81,60,61,65,0,0.7150000000000001,463518.2793805769
7,1.0,376773.54756022646,382792.74747912167,1769.8461908692716,-0.016004294914628903,392.94019151211313,0.311,109476.8279494888,,0,5,81,82,78,68,70,0,0.6890000000000001,486250.3755097153
8,1.0,375330.19558390207,381662.6720333842,1961.148371952338,-0.026974634107641917,392.06511929566807,0.299,37848.00236790242,,1,0,86,76,78,90,79,0,0.7010000000000001,413178.1979518045
9,1.0,375625.4145791814,381975.22969576414,1919.5872660922237,-0.018684312445187357,392.2568797754448,0.304,51242.023015303275,,1,1,78,83,70,88,75,0,0.696,426867.43759448465
10,1.0,375889.03972099186,382036.1907721022,1883.1876372705144,-0.02051376445199411,392.43774266349084,0.316,71801.04530922291,,1,2,83,85,68,91,84,0,0.6839999999999999,447690.08503021474
11,1.0,376141.4399132356,382287.587023722,1854.019030268093,-0.015860629601101923,392.615719425173,0.356,94198.88191690022,,1,3,92,103,75,90,94,0,0.644,470340.3218301358
12,1.0,376377.5143652439,382450.91704151034,1826.3267664344653,-0.015437967745144285,392.78879575696374,0.355,117598.60306234912,,1,4,94,99,87,80,89,0,0.645,493976.11742759304
13,1.0,376597.1831229276,382685.3550280246,1805.1077669854603,-0.015317392582404431,392.95506622214106,0.368,146143.8330034321,,1,5,108,101,93,90,90,0,0.632,522741.0161263597
14,1.0,375269.6320887158,381655.7291389841,1975.9363570793648,-0.024948610048392512,392.0742032558154,0.375,52845.10202795028,,2,0,116,92,110,119,106,0,0.625,428114.7341166661
15,1.0,375539.37998468627,381953.7136328373,1938.6268088731024,-0.01647559932393216,392.26648735937295,0.369,71427.1077192467,,2,1,110,105,91,118,104,0,0.631,446966.487703933
16,1.0,375782.04188700364,382001.35283298,1905.5432442447523,-0.018183822283010208,392.44776531379495,0.39,97222.8184678564,,2,2,115,108,95,113,111,0,0.61,473004.86035486
17,1.0,376015.9307340889,382241.1725521141,1879.2818227824519,-0.013538419857465692,392.62609413054406,0.429,125748.17894134077,,2,3,118,118,104,117,113,0,0.571,501764.10967542964
18,1.0,376235.61505431967,382393.92150079657,1854.0873728194267,-0.013083428060212347,392.79947307163127,0.418,152680.17566817472,,2,4,112,119,112,107,108,0,0.5820000000000001,528915.7907224944
19,1.0,376440.8684522895,382619.2457675916,1835.0700729131656,-0.012799181198268984,392.9659993770098,0.419,186396.26414325432,,2,5,122,118,112,108,109,0,0.581,562837.1325955437
20,1.0,375223.3681361922,381639.50795969955,1987.4034093750226,-0.023856332463030972,392.07992250489013,0.441,68078.26228741634,,3,0,131,120,136,149,138,0,0.5589999999999999,443301.6304236085
21,1.0,375473.34811964975,381924.91142024053,1953.1578294040041,-0.01536496585368716,392.2724627850972,0.423,91804.87390162113,,3,1,133,131,113,145,125,0,0.577,467278.2220212709
22,1.0,375699.5096988786,381961.72267421824,1922.4899155646174,-0.01695997058294468,392.4539389759874,0.46,122332.85859263498,,3,2,144,131,116,140,133,0,0.54,498032.3682915136
23,1.0,375919.02407544455,382191.99471291655,1898.2289415404523,-0.012448258700656252,392.63243686842156,0.488,155948.44588940483,,3,3,142,135,123,138,138,0,0.512,531867.4699648494
24,1.0,376125.9644511812,382336.2616229133,1874.9849713969486,-0.0119191407159911,392.8059581050676,0.464,186465.83108357037,,3,4,132,144,131,125,129,0,0.536,562591.7955347516
25,1.0,376320.14490165835,382554.25388572493,1857.491930104971,-0.011520962142751421,392.97260826284656,0.481,223271.92762732768,,3,5,140,141,129,124,130,0,0.519,599592.072528986
26,1.0,375193.3570541232,381625.8655598183,1995.3519143537794,-0.023063982553987745,392.08265394536454,0.477,79814.10628912073,,4,0,151,131,155,161,153,0,0.523,455007.46334324393
27,1.0,375430.29139773204,381901.74009925127,1962.8911187176766,-0.014347473182085999,392.27528780405135,0.462,107436.31066907258,,4,1,144,142,134,162,141,0,0.538,482866.60206680465
28,1.0,375645.4981466332,381930.57629038737,1933.7660996375992,-0.01601531237166943,392.456835927842,0.493,141752.28379600198,,4,2,156,142,132,154,153,0,0.507,517397.7819426352
29,1.0,375855.5364614326,382153.96701995184,1910.9144103638941,-0.01148476026890345,392.63539270073545,0.51,178566.75403393948,,4,3,156,144,132,155,146,0,0.49,554422.290495372
30,1.0,376054.216331192,382291.9715723202,1888.6789935112938,-0.01094234847703538,392.80896487204865,0.502,211618.88401681135,,4,4,142,160,143,141,140,0,0.498,587673.1003480033
31,1.0,376241.06300927093,382504.68380457035,1872.0849178921583,-0.01041185461291364,392.9756584021646,0.529,250975.71764935204,,4,5,154,155,144,145,153,0,0.471,627216.780658623
32,1.0,375178.56350425613,381624.87712817744,1999.2990437020735,-0.023029103591483198,392.08344425150716,0.491,86201.3427656981,,5,0,157,140,162,170,158,0,0.509,461379.9062699542
33,1.0,375409.0637032548,381896.4730434414,1967.6574963485198,-0.01417401746060559,392.2760949593957,0.486,115952.09311350272,,5,1,157,148,140,177,152,0,0.514,491361.1568167575
34,1.0,375618.9076388433,381921.71960930503,1939.2627435221154,-0.01596327141220364,392.45765843203804,0.51,152375.42587826465,,5,2,167,155,143,163,156,0,0.49,527994.3335171079
35,1.0,375824.3712645568,382141.7930436551,1917.1038618826783,-0.011396409635707656,392.63622974850887,0.527,190647.24200642225,,5,3,161,152,144,162,154,0,0.473,566471.613270979
36,1.0,376019.0789495586,382277.00986937835,1895.4337657856547,-0.01093502553758951,392.8098105768879,0.519,224968.74881580993,,5,4,150,168,148,145,149,0,0.481,600987.8277653685
37,1.0,376202.51047156955,382486.9171834244,1879.225505863979,-0.010261457705807529,392.9765139666142,0.545,265731.9178224379,,5,5,163,160,149,151,157,0,0.45499999999999996,641934.4282940074
38,1.5,376418.53387202154,382691.2355579777,1927.402030032025,-0.03731106922598337,396.8044477543412,0.079,7640.521609009905,25.468405363366347,0,0,17,25,15,19,16,0,0.921,384059.0554810314
39,2.0,377466.4441505235,383747.2513852047,1919.2442972299566,-0.0414780982690891,401.5554693531734,0.024,1679.5417091072482,5.598472363690828,0,0,4,9,6,5,2,0,0.976,379145.98585963075
40,2.5,378526.2854918724,384812.09867567726,1916.67627132885,-0.04301073696210752,406.30649037163454,0.002,50.916681305739786,0.16972227101913262,0,0,0,1,1,0,0,0,0.998,378577.20217317814
41,3.0,379595.7413455129,385876.7782166493,1914.6076000983198,-0.042438293106554864,411.0580701403826,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,379595.7413455129
