,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,pds_lat,wds_lat,T1,T2,B0,reliability,penalized_avg_obj
0,0.5,131008.29370215556,139142.13709114864,2203.6953793175817,0.13057505380850218,134012.35166687684,0.528,42206.1034990473,0,0,321,335,0,0.472,173214.39720120287
1,0.5,131008.29370215556,139142.13709114864,2203.6953793175817,0.13057505380850218,134012.35166687684,0.528,42206.1034990473,0,0,321,335,0,0.472,173214.39720120287
2,0.5,131071.68086761562,139105.2680601877,2194.0088789042234,0.1255296308182883,134079.60698273368,0.603,74306.86330538601,0,2,390,344,0,0.397,205378.54417300163
3,0.5,131141.73484639,139068.82039725204,2184.9710080828913,0.11867807936386876,134139.63219053572,0.569,97473.12764982591,0,4,371,319,0,0.43100000000000005,228614.8624962159
4,0.5,131201.42472800973,139070.11725835621,2171.0129449757715,0.11494772711013182,134195.18350766372,0.571,119258.48658471946,0,6,377,311,0,0.42900000000000005,250459.91131272918
5,0.5,131248.7744804536,138801.6573633177,2147.311910643245,0.11453373099328483,134242.71223774712,0.592,140009.48506890918,0,8,414,296,0,0.40800000000000003,271258.2595493628
6,0.5,131280.00708273458,139141.8793470743,2140.485464267771,0.13324646923177144,134283.48492028847,0.568,160559.55587310682,0,10,372,305,0,0.43200000000000005,291839.5629558414
7,0.5,131324.05347707146,138798.35373199856,2121.468924766961,0.14918447482218367,134319.80710049093,0.61,173938.2473115236,0,12,436,309,0,0.39,305262.30078859505
8,0.5,131015.48475459975,139109.79379159864,2207.446336588166,0.13001954469987398,134025.39250115486,0.507,42321.12175856854,2,0,301,322,0,0.493,173336.60651316828
9,0.5,131094.98330498915,139064.15874982346,2183.614794361014,0.129723809160668,134107.44613957172,0.534,76315.62497966381,2,2,312,340,0,0.46599999999999997,207410.60828465296
10,0.5,131152.59070977537,139038.63922537796,2183.6591312003475,0.12261071734345086,134159.66930828898,0.556,98171.7852043599,2,4,352,321,0,0.44399999999999995,229324.37591413525
11,0.5,131209.2588379698,139035.7442202925,2174.2100318191315,0.11627421498084248,134212.22907769665,0.522,119659.21234427587,2,6,307,308,0,0.478,250868.47118224567
12,0.5,131256.15928100602,138959.9133333263,2155.1853535601103,0.11580178626658327,134258.16350030637,0.548,140283.2230285497,2,8,348,302,0,0.45199999999999996,271539.3823095557
13,0.5,131287.24430264297,139310.5207519102,2150.279982372917,0.1335945331827911,134298.1427989421,0.582,164367.54297560157,2,10,398,307,0,0.41800000000000004,295654.7872782445
14,0.5,131330.98425660754,138998.81988541078,2133.9440388751073,0.14948466370345284,134333.93502785088,0.718,174152.37661464984,2,12,591,305,0,0.28200000000000003,305483.3608712574
15,0.5,131017.50963387867,139075.36780090432,2210.0351220975826,0.12854627171288935,134030.81597874794,0.508,42427.14059228948,4,0,300,323,0,0.492,173444.65022616816
16,0.5,131096.8372979786,139034.61106697624,2187.7682964867436,0.12865919749594906,134112.81359453526,0.521,76329.89533125109,4,2,302,330,0,0.479,207426.7326292297
