,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
0,0.5,131008.35700468958,139142.30864133354,2203.70832901902,0.1305867818209666,134.01234025382993,0.511,148062.88647131377,493.5429549043792,0.0,0,0,300,329,0,0.489,279071.24347600335
1,1.0,132390.40862089666,139882.6891750521,2041.8418917796998,0.10471106333668428,139.7864580989333,0.293,61674.910702158784,205.58303567386264,0.0,0,0,178,149,0,0.7070000000000001,194065.31932305545
2,1.0,132390.40862089666,139882.6891750521,2041.8418917796998,0.10471106333668428,139.7864580989333,0.293,61674.910702158784,,,0,0,178,149,0,0.7070000000000001,194065.31932305545
3,1.0,132545.98585039927,139935.84215389885,2016.8877812126277,0.10574421025540916,139.95216105255508,0.307,118626.56448126468,,,0,2,167,182,0,0.6930000000000001,251172.55033166395
4,1.0,132686.7506081415,139945.9522549854,1999.912467768937,0.10470047930169114,140.0841239975115,0.309,152742.8442886005,,,0,4,168,175,0,0.6910000000000001,285429.594896742
5,1.0,132803.4106917843,139850.15800318707,1979.9905972940085,0.1009367152593053,140.1983429323888,0.306,188299.7258589544,,,0,6,174,165,0,0.694,321103.1365507387
6,1.0,132901.74864198992,139767.14994146454,1961.4520350811395,0.1019160511088373,140.29297513987208,0.31,222952.5049352539,,,0,8,178,163,0,0.69,355854.2535772438
7,1.0,132980.86680414574,139985.5054813471,1952.517982746547,0.11143029747575235,140.37316926441966,0.323,255166.84422808862,,,0,10,176,178,0,0.677,388147.71103223437
8,1.0,133055.07621045044,139954.01501225808,1941.8639960374271,0.1100600842613818,140.44342294520567,0.33,270561.61985079007,,,0,12,180,179,0,0.6699999999999999,403616.6960612405
9,1.0,132402.98088841944,139904.3840034253,2046.2537023532755,0.104067884866421,139.79878214590866,0.306,64956.15586713303,,,2,0,180,164,0,0.694,197359.13675555246
